Alpha,Gamma,Epsilon,Average Reward
0.5,0.7,0.2,-0.113
0.5,0.7,0.3,-0.13
0.5,0.7,0.4,-0.137
0.5,0.7,0.5,-0.088
0.5,0.7,0.6,-0.138
0.5,0.7,0.7,-0.078
0.5,0.7,0.8,-0.204
0.5,0.7,0.9,-0.154
0.5,0.7,1.0,-0.147
0.5,0.8,0.1,-0.14
0.5,0.8,0.2,-0.181
0.5,0.8,0.3,-0.126
0.5,0.8,0.4,-0.07
0.5,0.8,0.5,-0.152
0.5,0.8,0.6,-0.135
0.5,0.8,0.7,-0.144
0.5,0.8,0.8,-0.054
0.5,0.8,0.9,-0.179
0.5,0.8,1.0,-0.141
0.5,0.9,0.1,-0.113
0.5,0.9,0.2,-0.144
0.5,0.9,0.3,-0.112
0.5,0.9,0.4,-0.116
0.5,0.9,0.5,-0.144
0.5,0.9,0.6,-0.082
0.5,0.9,0.7,-0.162
0.5,0.9,0.8,-0.129
0.5,0.9,0.9,-0.085
0.5,0.9,1.0,-0.198
0.5,1.0,0.1,-0.133
0.5,1.0,0.2,-0.07
0.5,1.0,0.3,-0.104
0.5,1.0,0.4,-0.111
0.5,1.0,0.5,-0.117
0.5,1.0,0.6,-0.101
0.5,1.0,0.7,-0.143
0.5,1.0,0.8,-0.173
0.5,1.0,0.9,-0.134
0.5,1.0,1.0,-0.116
0.6,0.1,0.1,-0.07
0.6,0.1,0.2,-0.115
0.6,0.1,0.3,-0.116
0.6,0.1,0.4,-0.123
0.6,0.1,0.5,-0.138
0.6,0.1,0.6,-0.129
0.6,0.1,0.7,-0.13
0.6,0.1,0.8,-0.195
0.6,0.1,0.9,-0.07
0.6,0.1,1.0,-0.184
0.6,0.2,0.1,-0.12
0.6,0.2,0.2,-0.099
0.6,0.2,0.3,-0.166
0.6,0.2,0.4,-0.122
0.6,0.2,0.5,-0.077
0.6,0.2,0.6,-0.133
0.6,0.2,0.7,-0.124
0.6,0.2,0.8,-0.194
0.6,0.2,0.9,-0.125
0.6,0.2,1.0,-0.151
0.6,0.3,0.1,-0.117
0.6,0.3,0.2,-0.123
0.6,0.3,0.3,-0.066
0.6,0.3,0.4,-0.152
0.6,0.3,0.5,-0.132
0.6,0.3,0.6,-0.138
0.6,0.3,0.7,-0.155
0.6,0.3,0.8,-0.07
0.6,0.3,0.9,-0.147
0.6,0.3,1.0,-0.173
0.6,0.4,0.1,-0.154
0.6,0.4,0.2,-0.125
0.6,0.4,0.3,-0.136
0.6,0.4,0.4,-0.177
0.6,0.4,0.5,-0.077
0.6,0.4,0.6,-0.181
0.6,0.4,0.7,-0.109
0.6,0.4,0.8,-0.146
0.6,0.4,0.9,-0.103
0.6,0.4,1.0,-0.141
0.6,0.5,0.1,-0.149
0.6,0.5,0.2,-0.099
0.6,0.5,0.3,-0.114
0.6,0.5,0.4,-0.162
0.6,0.5,0.5,-0.103
0.6,0.5,0.6,-0.153
0.6,0.5,0.7,-0.153
0.6,0.5,0.8,-0.174
0.6,0.5,0.9,-0.164
0.6,0.5,1.0,-0.189
0.6,0.6,0.1,-0.087
0.6,0.6,0.2,-0.08
0.6,0.6,0.3,-0.073
0.6,0.6,0.4,-0.17
0.6,0.6,0.5,-0.214
0.6,0.6,0.6,-0.172
0.6,0.6,0.7,-0.12
0.6,0.6,0.8,-0.109
0.6,0.6,0.9,-0.165
0.6,0.6,1.0,-0.15
0.6,0.7,0.1,-0.145
0.6,0.7,0.2,-0.083
0.6,0.7,0.3,-0.153
0.6,0.7,0.4,-0.124
0.6,0.7,0.5,-0.137
0.6,0.7,0.6,-0.094
0.6,0.7,0.7,-0.127
0.6,0.7,0.8,-0.167
0.6,0.7,0.9,-0.2
0.6,0.7,1.0,-0.184
0.6,0.8,0.1,-0.166
0.6,0.8,0.2,-0.105
0.6,0.8,0.3,-0.13
0.6,0.8,0.4,-0.101
0.6,0.8,0.5,-0.161
0.6,0.8,0.6,-0.155
0.6,0.8,0.7,-0.113
0.6,0.8,0.8,-0.175
0.6,0.8,0.9,-0.122
0.6,0.8,1.0,-0.196
0.6,0.9,0.1,-0.12
0.6,0.9,0.2,-0.127
0.6,0.9,0.3,-0.118
0.6,0.9,0.4,-0.094
